Classe;n_contorno;Área;Diâmetro;Minor;Diretorio;Imagem
;0;2340,0;2,309401076758503;1,333333333333333;.\originalGrayDataset;0388.png
;1;127,0;3,098386676965933;1,788854381999832;.\originalGrayDataset;0388.png
;2;32,0;5,912809357935427;0,937382257518902;.\originalGrayDataset;0388.png
;0;157,0;13,088974823467671;10,908588296885542;.\originalGrayDataset;0431.png
;1;135,5;4,898979485566356;1,936491673103709;.\originalGrayDataset;0431.png
;2;91,0;6,061651487414491;2,239727939979696;.\originalGrayDataset;0431.png
;0;2596,5;3,265986323710904;2,0;.\originalGrayDataset;0454.png
;1;783,5;16,564449916327366;3,585898547222153;.\originalGrayDataset;0454.png
;2;224,0;3,265986323710904;2,0;.\originalGrayDataset;0454.png
;0;2817,5;3,677088528342677;0,837402040213009;.\originalGrayDataset;0461.png
;1;278,0;10,58365680526088;1,47096003390795;.\originalGrayDataset;0461.png
;2;21,0;3,23606797749979;1,23606797749979;.\originalGrayDataset;0461.png
;0;528,0;19,000460494222295;2,74772179376671;.\originalGrayDataset;0466.png
;1;433,5;2,0;2,0;.\originalGrayDataset;0466.png
;2;16,5;3,265986323710904;2,0;.\originalGrayDataset;0466.png
;0;1817,5;3,23606797749979;1,23606797749979;.\originalGrayDataset;0471.png
;1;624,0;3,098386676965933;1,788854381999832;.\originalGrayDataset;0471.png
;2;285,0;3,098386676965933;1,788854381999832;.\originalGrayDataset;0471.png
;0;544,5;16,166777982125286;3,469191501873183;.\originalGrayDataset;0475.png
;1;101,0;3,098386676965933;1,788854381999832;.\originalGrayDataset;0475.png
;2;24,0;2,309401076758503;1,333333333333333;.\originalGrayDataset;0475.png
;0;6465,0;3,098386676965933;1,788854381999832;.\originalGrayDataset;0482.png
;1;139,0;3,464101615137754;2,738612787525831;.\originalGrayDataset;0482.png
;2;127,5;6,822412295180275;2,764300479549879;.\originalGrayDataset;0482.png
;0;8565,0;3,829708431025352;1,885618083164127;.\originalGrayDataset;0483.png
;1;497,0;2,0;2,0;.\originalGrayDataset;0483.png
;2;272,5;4,933331945195333;1,123492731847979;.\originalGrayDataset;0483.png
;0;116,0;5,789587707837038;2,245144577362954;.\originalGrayDataset;0485.png
;1;47,5;8,909138328377306;2,60769893814667;.\originalGrayDataset;0485.png
;2;46,5;6,764160865951705;3,071421133535333;.\originalGrayDataset;0485.png
;0;181,0;6,052283110938236;1,695889732428958;.\originalGrayDataset;0486.png
;1;75,5;5,773502691896258;2,70801280154532;.\originalGrayDataset;0486.png
;2;70,5;5,274258481434536;1,946056459258261;.\originalGrayDataset;0486.png
;0;4258,0;11,304606290625845;3,990829666334621;.\originalGrayDataset;0489.png
;1;1094,5;4,312594463574638;2,660928660904759;.\originalGrayDataset;0489.png
;2;287,5;4,51260859854213;2,954195783503986;.\originalGrayDataset;0489.png
;0;7312,5;4,155374705678736;1,905471133100374;.\originalGrayDataset;0490.png
;1;88,0;4,976979969245306;1,79712837207891;.\originalGrayDataset;0490.png
;2;85,0;3,885753375057407;2,795442890696132;.\originalGrayDataset;0490.png
;0;1461,5;2,0;2,0;.\originalGrayDataset;0491.png
;1;761,5;3,023715784073818;2,799416848895061;.\originalGrayDataset;0491.png
;2;300,5;6,143432052037241;2,258587573819768;.\originalGrayDataset;0491.png
;0;3755,5;5,960972258881774;2,113482843280711;.\originalGrayDataset;0493.png
;1;1213,0;8,153897795357947;1,674278035812425;.\originalGrayDataset;0493.png
;2;1176,0;3,829708431025352;1,885618083164126;.\originalGrayDataset;0493.png
;0;3442,0;7,900885465269838;1,989013361931993;.\originalGrayDataset;0496.png
;1;1083,5;3,921076191412977;2,150618864683908;.\originalGrayDataset;0496.png
;2;980,5;5,685009884989297;2,344961497712873;.\originalGrayDataset;0496.png
;0;27,5;2,0;2,0;.\originalGrayDataset;0501.png
;1;22,5;6,889306318170726;2,547130086499986;.\originalGrayDataset;0501.png
;2;15,5;2,309401076758503;1,333333333333333;.\originalGrayDataset;0501.png
;0;107,0;3,23606797749979;1,23606797749979;.\originalGrayDataset;0513.png
;1;104,5;4,680205767201096;1,046744465787899;.\originalGrayDataset;0513.png
;2;78,0;5,789587707837038;2,245144577362954;.\originalGrayDataset;0513.png
;0;35,0;7,097764472921567;3,093922554118483;.\originalGrayDataset;0515.png
;1;35,0;2,0;2,0;.\originalGrayDataset;0515.png
;2;22,0;19,12891422407745;1,318696930891048;.\originalGrayDataset;0515.png
;0;6711,5;3,098386676965933;1,788854381999832;.\originalGrayDataset;0518.png
